ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
1,119,0,0,0,0,0,1,1,1,0,0,22,0,140,4,0,1,0,0,0,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,70,yenisehir,0,0,belirtilmemis,0,0,1,0,0,0,4,700,0,1,0,0,cumhuriyet,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,130,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,134,0,1,1,1,0,0,0,1,0,0,yok,0,betonarme,0,0,0,1,1,0,0,165000
0,119,0,0,0,1,0,0,1,2,0,0,18,0,0,5,0,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,1,0,0,0,0,1,1,1,75,cukurova,0,1,klima,0,0,1,0,0,1,8,3608,0,1,0,0,guzelyali,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,160,4,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,43,0,1,0,1,0,0,0,1,0,0,elektrik,0,betonarme,0,0,0,1,1,1,0,598000
0,1,0,0,0,0,0,0,0,1,0,0,4,0,155,5,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,66,talas,0,0,merkezi,0,0,0,0,0,0,14,1000,0,1,0,0,mevlana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,1,0,0,1,350000
0,119,0,1,0,0,0,1,1,1,1,0,0,0,90,0,0,1,0,0,1,0,0,1,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,1,64,edremit,1,1,klima,0,0,1,0,0,1,3,3608,0,1,0,0,iskele,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,80,2,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,37,1,0,0,1,0,0,0,1,0,1,elektrik,0,betonarme,1,0,0,1,1,1,1,460000
0,119,0,0,0,0,0,0,0,1,0,0,0,0,110,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,74,selcuklu,0,0,kombi,0,0,0,0,0,0,5,3608,0,1,0,0,mehmet akif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,0,0,0,280000
0,119,0,1,1,1,0,1,1,1,0,0,17,0,115,5,1,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,1,0,0,0,1,0,0,1,76,kepez,0,1,klima,0,0,1,0,0,1,9,3608,0,1,1,0,altinova orta,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,90,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,39,1,0,0,1,0,0,0,1,1,1,yok,1,betonarme,0,0,0,1,1,1,0,287500
0,50,0,1,0,1,0,1,1,2,0,0,3,0,125,2,1,1,0,0,1,0,0,0,5542,1,0,1,1,False,0,0,0,0,1,0,0,0,0,0,58,adapazari,1,0,kombi,0,0,1,1,0,1,4,1500,0,1,1,0,15 temmuz camili,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,125,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,110,0,0,1,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,1,0,0,375000
1,119,0,1,0,1,0,0,1,2,0,0,1,0,188,5,1,1,0,0,1,1,0,1,5542,0,0,0,1,False,1,1,1,0,1,0,1,1,0,0,41,merkez,1,1,merkezi,0,0,1,0,1,0,5,3608,0,1,0,0,kepez (hamidiye),1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,140,4,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,75,0,1,0,1,0,1,1,1,0,1,dogalgaz,0,betonarme,1,0,1,1,0,0,1,802000
0,119,0,0,0,1,0,0,0,2,0,0,1,0,135,0,0,1,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,78,menemen,1,0,kombi,0,0,0,0,0,0,10,2000,0,1,0,0,ahihidir,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,1,0,0,0,1,0,1,370000
1,119,0,1,0,1,0,1,1,2,0,0,0,0,40,9,1,1,0,0,1,0,0,0,5542,1,1,0,1,False,0,1,1,1,1,0,0,1,1,1,75,cukurova,1,1,kombi,0,1,1,0,0,0,15,40000,0,1,0,1,kurttepe,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,180,4,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,125,1,1,1,1,0,0,0,1,0,1,dogalgaz,0,betonarme,1,0,0,1,1,1,1,1250000
